# <Start>	<Ende>		<Meter>		<Schritte>
1001 1106 3.35 0
1106 1101 3.65 0
1101 1105 8.6 0
1105 1103 4.9 0
1103 103 5 0
1103 104 5 0
1105 102 5 0
1105 105 6 0
1101 101 5 0
1002 1107 3.35 0
1107 1108 8.8 0
1108 1110 8.3 0
1110 110 5 0
1110 109 5 0
1108 108 6 0
1108 112 5 0
1107 107 6 0
1107 113 5 0
1002 2001 0 33
2001 2206 3.35 0
2206 2201 3.65 0
2201 2205 8.6 0
2205 2203 4.9 0
2203 203 5 0
2203 204 5 0
2205 202 5 0
2201 201 5 0
2201 205 6 0
2002 2207 3.35 0
2207 2208 8.8 0
2208 2210 8.3 0
2210 210 5 0
2210 212 5 0
2210 209 5 0
2208 208 6 0
2208 212 5 0
2207 207 6 0
2002 3001 0 33
3001 3306 3.35 0
3306 3301 3.65 0
3301 3305 8.6 0
3305 3303 4.9 0
3303 303 5 0
3303 304 5 0
3305 302 5 0
3305 305 6 0
3301 301 5 0
3306 306 6 0
3002 3307 3.35 0
3307 3308 8.8 0
3308 3310 8.3 0
3310 310 5 0
3310 311 5 0
3310 309 5 0
3308 312 5 0
3308 308 6 0
3307 307 6 0
3307 4407 0 30
3002 314 5 0
1001 1003 3.05 0
1003 1002 3.05 0
2001 2002 6.1 0
3001 3002 6.1 0
4001 4002 6.1 0
4001 4406 3.35 0
4406 4401 3.65 0
4401 4405 8.6 0
4405 4403 4.9 0
4403 403 5 0
4403 404 5 0
4405 402 5 0
4401 405 5 0
4001 414 5 0
4002 4407 3.35 0
4407 4408 8.8 0
4408 4410 8.3 0
4410 409 5 0
4410 411 5 0
4408 412 5 0
4408 407 5 0
1003 0 0 12
0 1052 52 0
1052 1053 2.2 0
1053 1054 0 10
1054 052 4.5 0
1052 1155 0 12
1155 1154 2.8 0
1154 154 3 0
1155 1153 2.2 0
1153 153 3 0
1153 1151 2.9 0
1151 152 3 0
1153 1255 0 27
1255 1254 2.8 0
1254 254 3 0
1255 1253 2.2 0
1253 253 3 0
1253 1251 2.9 0
1251 251 3 0
1253 1355 0 27
1355 1354 2.8 0
1354 354 3 0
1355 1353 2.2 0
1353 353 3 0
1353 1351 2.9 0
1351 351 3 0
